component,contact_duty,contact_events,first_contact_s,last_release_s,mean_event_duration_s,max_event_duration_s,scenario,maximum_penetration_mm,mean_active_triangles_when_contacting,maximum_active_triangles
Mid,0.0,0,,,0.0,0.0,rigid_original,,,
Front,0.07458333333333333,194,0.06200000000000005,5.096999999999895,0.0023067010309276207,0.04450000000000004,rigid_original,,,
FR,0.26325,471,2.598500000000035,4.820500000000048,0.0033535031847130702,0.5429999999996991,rigid_original,,,
FL,0.3468333333333333,657,0.18000000000000013,6.000499999999394,0.003167427701673733,0.5265000000000364,rigid_original,,,
Back,0.0205,72,0.23050000000000018,5.106999999999889,0.0017083333333331144,0.004999999999997229,rigid_original,,,
HR,0.3353333333333333,673,0.18900000000000014,5.999999999999394,0.0029895988112922664,0.42500000000004756,rigid_original,,,
HL,0.25216666666666665,510,0.2900000000000002,5.494499999999674,0.0029666666666664913,0.31099999999982764,rigid_original,,,
Tail,0.09208333333333334,423,0.059500000000000046,5.968499999999412,0.0013061465721039079,0.060000000000000046,rigid_original,,,
Mid,0.26716666666666666,201,0.06350000000000004,5.380999999999737,0.007975124378108583,0.3440000000001149,sand_rft,2.3466630776974933,64.58109794135996,238
Front,0.3403333333333333,219,0.06300000000000004,5.298999999999783,0.009324200913240656,0.681999999999622,sand_rft,3.677386087678855,79.5732125367287,244
FR,0.36633333333333334,7,0.06850000000000005,4.785000000000068,0.31400000000000633,2.18600000000005,sand_rft,8.769505630103183,99.2377161055505,205
FL,0.5094166666666666,10,0.06800000000000005,6.000499999999394,0.305649999999943,2.1239999999999375,sand_rft,9.311069291572661,94.03140847374448,205
Back,0.37375,313,0.06200000000000005,5.554999999999641,0.007164536741213453,0.3950000000001319,sand_rft,2.521435059141222,48.26845039018952,182
HR,0.5335,12,0.16900000000000012,6.000499999999394,0.2667499999999592,2.2099999999999618,sand_rft,8.56721909963475,157.7680412371134,365
HL,0.44016666666666665,16,0.3850000000000003,5.573499999999631,0.16506249999999142,2.258499999999973,sand_rft,7.716534547962884,83.70371071563801,197
Tail,0.8281666666666667,429,0.060000000000000046,6.000499999999394,0.011582750582749792,1.6520000000005517,sand_rft,2.977307845232924,38.5298852887905,144
