component,contact_duty,contact_events,first_contact_s,last_release_s,mean_event_duration_s,max_event_duration_s,scenario,maximum_penetration_mm,mean_active_triangles_when_contacting,maximum_active_triangles
Mid,0.0,0,,,0.0,0.0,rigid_original,,,
Front,0.262,19,0.06200000000000005,0.18950000000000014,0.0034473684210526347,0.04450000000000004,rigid_original,,,
FR,0.0,0,,,0.0,0.0,rigid_original,,,
FL,0.03,6,0.18000000000000013,0.23050000000000018,0.0012500000000000011,0.0025000000000000022,rigid_original,,,
Back,0.006,2,0.23050000000000018,0.2475000000000002,0.0007500000000000007,0.0010000000000000009,rigid_original,,,
HR,0.004,2,0.18900000000000014,0.22850000000000018,0.0005000000000000004,0.0005000000000000004,rigid_original,,,
HL,0.0,0,,,0.0,0.0,rigid_original,,,
Tail,0.34,26,0.059500000000000046,0.2470000000000002,0.0032692307692307717,0.060000000000000046,rigid_original,,,
Mid,0.49,11,0.06350000000000004,0.25050000000000017,0.011136363636363642,0.07250000000000004,sand_rft,2.3466630776974933,61.648979591836735,238
Front,0.694,8,0.06300000000000004,0.25050000000000017,0.021687500000000012,0.13250000000000006,sand_rft,3.677386087678855,77.51008645533142,244
FR,0.006,1,0.06850000000000005,0.07000000000000005,0.0015000000000000013,0.0015000000000000013,sand_rft,0.17275755527627543,5.333333333333333,7
FL,0.28,2,0.06800000000000005,0.25050000000000017,0.03500000000000002,0.06800000000000003,sand_rft,4.429931252798627,59.27857142857143,101
Back,0.6,13,0.06200000000000005,0.25050000000000017,0.011538461538461544,0.09200000000000005,sand_rft,2.521435059141222,47.513333333333335,182
HR,0.326,1,0.16900000000000012,0.25050000000000017,0.08150000000000004,0.08150000000000004,sand_rft,3.1408943872329766,73.08588957055214,127
HL,0.0,0,,,0.0,0.0,sand_rft,0.0,0.0,0
Tail,0.694,9,0.060000000000000046,0.25050000000000017,0.01927777777777779,0.13050000000000006,sand_rft,2.977307845232924,44.12103746397695,144
