scenario,component,event_index,start_s,end_s,duration_s
rigid_original,Front,0,0.062000000,0.070500000,0.008500000
rigid_original,Front,1,0.077500000,0.122000000,0.044500000
rigid_original,Front,2,0.122500000,0.124500000,0.002000000
rigid_original,Front,3,0.125000000,0.126000000,0.001000000
rigid_original,Front,4,0.127000000,0.128000000,0.001000000
rigid_original,Front,5,0.128500000,0.129500000,0.001000000
rigid_original,Front,6,0.130000000,0.131000000,0.001000000
rigid_original,Front,7,0.132000000,0.133000000,0.001000000
rigid_original,Front,8,0.134500000,0.135000000,0.000500000
rigid_original,Front,9,0.136000000,0.136500000,0.000500000
rigid_original,Front,10,0.139000000,0.139500000,0.000500000
rigid_original,Front,11,0.140500000,0.141000000,0.000500000
rigid_original,Front,12,0.143500000,0.144000000,0.000500000
rigid_original,Front,13,0.145500000,0.146000000,0.000500000
rigid_original,Front,14,0.151000000,0.151500000,0.000500000
rigid_original,Front,15,0.156500000,0.157000000,0.000500000
rigid_original,Front,16,0.164500000,0.165000000,0.000500000
rigid_original,Front,17,0.175000000,0.175500000,0.000500000
rigid_original,Front,18,0.189000000,0.189500000,0.000500000
rigid_original,FL,0,0.180000000,0.180500000,0.000500000
rigid_original,FL,1,0.187000000,0.188000000,0.001000000
rigid_original,FL,2,0.195000000,0.196000000,0.001000000
rigid_original,FL,3,0.215500000,0.218000000,0.002500000
rigid_original,FL,4,0.221000000,0.222000000,0.001000000
rigid_original,FL,5,0.229000000,0.230500000,0.001500000
rigid_original,Back,0,0.230500000,0.231000000,0.000500000
rigid_original,Back,1,0.246500000,0.247500000,0.001000000
rigid_original,HR,0,0.189000000,0.189500000,0.000500000
rigid_original,HR,1,0.228000000,0.228500000,0.000500000
rigid_original,Tail,0,0.059500000,0.119500000,0.060000000
rigid_original,Tail,1,0.120000000,0.121000000,0.001000000
rigid_original,Tail,2,0.121500000,0.123000000,0.001500000
rigid_original,Tail,3,0.123500000,0.125000000,0.001500000
rigid_original,Tail,4,0.125500000,0.126500000,0.001000000
rigid_original,Tail,5,0.127000000,0.127500000,0.000500000
rigid_original,Tail,6,0.128000000,0.128500000,0.000500000
rigid_original,Tail,7,0.129500000,0.130500000,0.001000000
rigid_original,Tail,8,0.131500000,0.132000000,0.000500000
rigid_original,Tail,9,0.132500000,0.133000000,0.000500000
rigid_original,Tail,10,0.134000000,0.134500000,0.000500000
rigid_original,Tail,11,0.135500000,0.136500000,0.001000000
rigid_original,Tail,12,0.139500000,0.140500000,0.001000000
rigid_original,Tail,13,0.142000000,0.142500000,0.000500000
rigid_original,Tail,14,0.144500000,0.145500000,0.001000000
rigid_original,Tail,15,0.148500000,0.149000000,0.000500000
rigid_original,Tail,16,0.152000000,0.152500000,0.000500000
rigid_original,Tail,17,0.157000000,0.157500000,0.000500000
rigid_original,Tail,18,0.163500000,0.164000000,0.000500000
rigid_original,Tail,19,0.168000000,0.168500000,0.000500000
rigid_original,Tail,20,0.177000000,0.178000000,0.001000000
rigid_original,Tail,21,0.184500000,0.185000000,0.000500000
rigid_original,Tail,22,0.209500000,0.212000000,0.002500000
rigid_original,Tail,23,0.218000000,0.222000000,0.004000000
rigid_original,Tail,24,0.225500000,0.226500000,0.001000000
rigid_original,Tail,25,0.245500000,0.247000000,0.001500000
sand_rft,Mid,0,0.063500000,0.076000000,0.012500000
